"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"424","SERPENS","SERPENS (Sistema Espacial para Realização de Pesquisa e Experimentos com Nanossatélites) programme university consortium","University","Brazil","3U","08/19/15","H-2B","ISS","Space Technology"
"425","XC 3 (Xingchen 3)","National University of Defense Technology (NUDT)","University","China","100 g","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"426","ZJ 1 (Zijing 1)","Tsinghua University","University","China","0.234 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"427","KJSY 1 (Kongjian Shiyan 1)","Tsinghua University","University","China","0.173 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"428","LilacSat-2","Harbin Institute of Technology","University","China","10 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"429","XW-2B (CAS 3B, Chinese Amateur Radio Satellite)","CAMSAT (AMSAT China)","Non-profit","China","10 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"430","XW-2C (CAS 3C, Chinese Amateur Radio Satellite)","CAMSAT (AMSAT China)","Non-profit","China","10 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"431","XW-2D (CAS 3D, Chinese Amateur Radio Satellite)","CAMSAT (AMSAT China)","Non-profit","China","10 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"432","XW-2E (CAS 3E, Chinese Amateur Radio Satellite)","CAMSAT (AMSAT China)","Non-profit","China","1.5 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"433","XW-2F (CAS 3F, Chinese Amateur Radio Satellite)","CAMSAT (AMSAT China)","Non-profit","China","1.5 kg","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"434","DCBB, CAS 3G (Chinese Amateur Radio Satellite)","Shenzhen Aerospace Dongfanghong HIT Satellite Ltd","Company","China","2U","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"435","NUDT-PhoneSat (CAS 3I, Kaituo 1B)","National University of Defense Technology","University","China","1U","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"436","XC 1 (Xingchen 1)","National University of Defense Technology (NUDT)","University","China","100 g","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"437","XC 2 (Xingchen 2)","National University of Defense Technology (NUDT)","University","China","100 g","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"438","XC 4 (Xingchen 4)","National University of Defense Technology (NUDT)","University","China","100 g","09/19/15","Long March 6 (CZ-6)","520 x 520 km, 97 degree inclination, SSO","Space Technology"
"439","TW-1A (STU-2, Shankeda 2, Tianwang-1A, Sat-A, SECM-1)","Shanghai Engineering Centre for Microsatellites (SECM)","Institute","China","3U","09/25/15","Chang Zheng 11 (CZ-11)","470 x 485 km, 97.3 degree inclination, SSO","Space Technology"
"440","TW-1B (STU-2, NJUST 2, Tianwang-1B, Sat-B, SECM-1)","Shanghai Engineering Centre for Microsatellites","Institute","China","2U","09/25/15","Chang Zheng 11 (CZ-11)","470 x 485 km, 97.3 degree inclination, SSO","Space Technology"
"441","TW-1C (STU-2, NJFA , Tianwang-1C, Sat-C, SECM-1)","Shanghai Engineering Centre for Microsatellites","Institute","China","2U","09/25/15","Chang Zheng 11 (CZ-11)","470 x 485 km, 97.3 degree inclination, SSO","Space Technology"
"442","Lemur2-Chris","Spire","Company","US","3U","09/28/15","PSLV-XL","650 x 660 km, 6 degree inclination","Space Activity"
"443","Lemur2-Jeroen","Spire","Company","US","3U","09/28/15","PSLV-XL","650 x 660 km, 6 degree inclination","Space Activity"
"444","Lemur2-Peter","Spire","Company","US","3U","09/28/15","PSLV-XL","650 x 660 km, 6 degree inclination","Space Activity"
"445","Lemur2-Joel","Spire","Company","US","3U","09/28/15","PSLV-XL","650 x 660 km, 6 degree inclination","Space Activity"
"446","ExactView 9","exactEarth Inc","Company","Canada","5.5 kg","09/28/15","PSLV-XL","650 x 660 km, 6 degree inclination","Space Activity"
"447","LMRSTSat (LMRSat , LMRST-Sat, Low Mass Radio Science Transponder - Satellite)","Stanford University","University","US","2U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"448","ARC-1 (Alaska Research CubeSat)","University of Alaska","University","US","1U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"449","AeroCube-5C","The Aerospace Corporation","Non-profit","US","1.5U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"450","SINOD-D 3","SRI International","Company","US","2U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"451","BisonSat (Nwist Q̓ʷiq̓ʷáy, SKC)","Salish Kootenai College","University","US","1U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"452","Fox-1A","The Radio Amateur Satellite Corporation (AMSAT)","Non-profit","US","1U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"453","SINOD-D 1","SRI International","Company","US","2U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"454","PropCube 3 (Merryweather. Propagation CubeSat)","Naval Postgraduate School (NPS)","University","US","1U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Science"
"455","SNaP-3 A ALICE ((Space and Missile Defense Command Nano-Satellite-3)","United States Army Space and Missile Defense Command","Military","US","3U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"456","PropCube 1 (Flora, Propagation CubeSat)","Naval Postgraduate School (NPS)","University","US","1U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Science"
"457","SNaP-3 B EDDIE ((Space and Missile Defense Command Nano-Satellite-3)","United States Army Space and Missile Defense Command","Military","US","3U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"458","SNAP-3 C JIMI (Space and Missile Defense Command Nano-Satellite-3)","Naval Postgraduate School","University","US","3U","10/08/15","Atlas V","480 x 800 km, 64.8 degree inclination","Space Technology"
"459","Aerocube-7A (OCSD, Optical Communications and Sensor Demonstration, IOCPS-A, Integrated Optical Communications and Proximity Sensors)","The Aerospace Corporation","Non-profit","US","1.5U","10/08/15","Atlas V","500 x 800 km, 63 degree inclination","Space Technology"
"460","Argus (SLU-02)","Saint Louis University","University","US","2U","11/04/15","Super Strypi","Launch failure","Space Technology"
"461","EDSN 1 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"462","EDSN 2 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"463","EDSN 3 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"464","EDSN 4 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"465","EDSN 5 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"466","EDSN 6 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"467","EDSN 7 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"468","EDSN 8 (Edison Demonstration of Smallsat Networks)","NASA/ Ames Research Center","Agency","US","1.5U","11/04/15","Super Strypi","Launch failure","Space Technology"
"469","PrintSat","Montana State University","University","US","1U","11/04/15","Super Strypi","Launch failure","Space Technology"
"470","SUPERNOVA-BETA","Pumpkin","Company","US","6U","11/04/15","Super Strypi","Launch failure","Space Technology"
"471","STACEM","Utah State University Research Foundation Space Dynamics Laboratory","Institute","US","3U","11/04/15","Super-Strypi","Launch failure","Space Technology"
"472","Nodes A","NASA Ames Research Center","Agency","US","1.5U","12/06/15","Atlas V","ISS","Space Technology"
"473","Nodes B","NASA Ames Research Center","Agency","US","1.5U","12/06/15","Atlas V","ISS","Space Technology"
"474","MinXSS (Miniature X-ray Solar Spectrometer CubeSat)","University of Colorado at Boulder","University","US","3U","12/06/15","Atlas V","ISS","Space Science"
"475","Flock-2e 1","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"476","Flock-2e 2","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"477","Flock-2e 3","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"478","Flock-2e 4","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"479","Flock-2e 5","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"480","Flock-2e 6","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"481","Flock-2e 7","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"482","Flock-2e 9","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"483","Flock-2e 8","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"484","Flock-2e 10","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"485","Flock-2e 11","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"486","Flock-2e 12","Planet Labs","Company","US","3U","12/06/15","Atlas V","ISS","Space Activity"
"487","STMSat-1 (STM CubeSat, St. Thomas More Cathedral School)","St. Thomas More Cathedral School","School","US","1U","12/06/15","Atlas V","ISS","Space Activity"
"488","CADRE (CubeSat investigating Atmospheric Density Response to Extreme driving)","University of Michigan","University","US","3U","12/06/15","Atlas V","ISS","Space Technology"
"489","BEVO 2 (LONESTAR)","University of Texas at Austin","University","US","3U","12/06/15","Atlas V","ISS","Space Technology"
"490","VELOX-II","Nanyang Technological University","University","Singapore","6U","12/16/15","PSLV","550 km, 15 degree inclination","Space Technology"
"491","Athenoxat-1","Microspace Rapid Pte Ltd.","Company","Italy","3U","12/16/15","PSLV","550 km, 15 degree inclination","Space Technology"
"492","Galassia","National University of Singapore","University","Singapore","2U","12/16/15","PSLV","550 km, 15 degree inclination","Space Technology"
"493","HORYU-4","Kyushu Institute of Technology","University","Japan","10 kg","02/17/16","H-2A","Launched","Space Technology"
"494","Flock-2e' 1","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"495","Flock-2e' 2","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"496","Flock-2e' 3","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"497","Flock-2e' 4","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"498","Flock-2e' 5","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"499","Lemur-2 5","Spire","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"500","Flock-2e' 6","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"501","Flock-2e' 7","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"502","Flock-2e' 8","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"503","Flock-2e' 9","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"504","Flock-2e' 10","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"505","Flock-2e' 11","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"506","Flock-2e' 12","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"507","Flock-2e' 13","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"508","Flock-2e' 14","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"509","Flock-2e' 15","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"510","Lemur-2 6","Spire","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"511","Flock-2e' 16","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"512","Flock-2e' 17","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"513","Flock-2e' 18","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"514","Flock-2e' 19","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"515","Lemur-2 7","Spire","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"516","Flock-2e' 20","Planet Labs","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"517","Lemur-2 8","Spire","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"518","Lemur-2 9","Spire","Company","US","3U","03/23/16","Atlas V","ISS","Space Activity"
"519","ITASAT 1","Technological Institute of Aeronautics","University","Brazil","6U","03/31/16","-","not launched","Space Technology"
"520","Nayif-1","Emirates Institution for Advanced Science and Technology","Institute","Dubai","1U","03/31/16","Falcon 9, SHERPA","not launched","Space Technology"
"521","OUFTI-1","University of Liège","University","Belgium","1U","04/22/16","Sojuz","not launched","Space Technology"
"522","AAUSAT4","Aalborg University","University","Denmark","1U","04/22/16","Sojuz","not launched","Space Technology"
"523","e-st@r-II","Polytechnic University of Turin","University","Italy","1U","04/22/16","Sojuz","not launched","Space Technology"
"524","SamSat-218","Samara State Aerospace University","University","Russia","2U","04/27/16","Sojuz-2.1a","not launched","Space Technology"
"525","Max Valier","Max Valier Technical High School","School","Italy","10 kg","05/31/16","PSLV","not launched","-"
"526","Flock-2x 1","Planet Labs","Company","US","3U","05/31/16","PSLV","ISS","Space Activity"
"527","Flock-2x 2","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"528","Flock-2x 3","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"529","Flock-2x 4","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"530","Flock-2x 5","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"531","Flock-2x 6","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"532","Flock-2x 7","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"533","Flock-2x 8","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"534","Flock-2x 9","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"535","Flock-2x 10","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"536","Flock-2x 11","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"537","Flock-2x 12","Planet Labs","Company","US","3U","05/31/16","PSLV","not launched","Space Activity"
"538","Venta-1","University of Applied Sciences Bremen, OHB Systems","University","Latvia","7.5 kg","05/31/16","PSLV","not launched","Space Technology"
"539","Sathyabamasat (SNSAT)","Sathyabama University","University","India","2U","05/31/16","PSLV","not launched","Space Technology"
"540","BEESAT-4","Berlin Technical University","University","Germany","1U","05/31/16","PSLV","505 km, 97 degree inclination","Space Technology"
"541","Swayam COEP","College of Education Pune","University","India","1U","05/31/16","PSLV","not launched","Space Technology"
"542","Aerocube-7B (OCSD, Optical Communications and Sensor Demonstration, IOCPS-B, Integrated Optical Communications and Proximity Sensors)","The Aerospace Corporation","Non-profit","US","1.5U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"543","SIGMA","Kyung Hee University","University","South Korea","3U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"544","STEP-1 (STEP Cube Lab)","Chosun University","University","South Korea","1U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"545","EcAMSat (E. Coli AntiMicrobialSat)","NASA Ames Research Center","Agency","US","6U","06/30/16","Falcon 9 SHERPA","not launched","Space Activity"
"546","CANYVAL-X 2U Tom","Yonsei University","University","South Korea","2U","06/30/16","Falcon 9 SHERPA","not launched","Space Science"
"547","CNUSail-1 (Papillon)","Chungnam National University","University","South Korea","3U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"548","Fox-1D","The Radio Amateur Satellite Corporation (AMSAT)","Company","US","1U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"549","Aerocube-7C (OCSD-C, Optical Communications and Sensor Demonstration, IOCPS-B, Integrated Optical Communications and Proximity Sensors)","The Aerospace Corporation","Non-profit","US","1.5U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"550","skCube","Slovak Organisation for Space Activities","Non-profit","Slovakia","1U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"551","NanosatC-Br2","Southern Regional Space Research Center (CRS)","Institute","Brazil","2U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"552","CANYVAL-X 1U Jerry","Yonsei University","University","South Korea","1U","06/30/16","Falcon 9 SHERPA","not launched","Space Science"
"553","KAUSAT-5","Korea Aerospace University","University","South Korea","3U","06/30/16","Falcon 9 SHERPA","not launched","Space Activity"
"554","Fox-1C","The Radio Amateur Satellite Corporation (AMSAT)","Company","US","1U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"555","Arkyd 6 (A6)","Planetary Resources","Company","US","6U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"556","Dido-1 (SpacePharma)","SpacePharma","Company","Israel","3U","06/30/16","Falcon 9 SHERPA","not launched","Space Activity"
"557","ISARA (Integrated Solar Array and Reflectarray Antenna for High Bandwidth CubeSat)","Jet Propulsion Laboratory, California Institute of Technology","Agency","US","3U","06/30/16","Falcon 9 SHERPA","not launched","Space Technology"
"558","QARMAN","VKI (von karman Institute)","Institute","Belgium","3U","07/31/16","TBD","ISS","Space Science"
"559","Columbia","University of Turabo","University","US","2U","07/31/16","TBD","ISS","Space Science"
"560","Qbito","Polytechnics University of Madrid","University","Spain","2U","07/31/16","TBD","ISS","Space Science"
"561","ZJU CubeSat","Zhejiang University","University","China","2U","07/31/16","TBD","ISS","Space Science"
"562","SamSat-QB50","Samara State Aerospace University","University","Russia","3U","07/31/16","TBD","ISS","Space Science"
"563","Discovery","Stanford University","University","US","2U","07/31/16","TBD","ISS","Space Science"
"564","SAT-IP2","University of Picard","University","France","2U","07/31/16","TBD","ISS","Space Science"
"565","SNUSat-1","Seoul National University","University","South Korea","2U","07/31/16","TBD","ISS","Space Science"
"566","UCLSat","University College London","University","UK","2U","07/31/16","TBD","ISS","Space Science"
"567","SpaceCube","Mines Paristech","University","France","2U","07/31/16","TBD","ISS","Space Science"
"568","STU-1","ShanghaiTech University","University","China","2U","07/31/16","TBD","ISS","Space Science"
"569","SUSat","University of Adelaide","University","Australia","2U","07/31/16","TBD","ISS","Space Science"
"570","ZA-AeroSat","Cape Peninsula University of Technology","University","South Africa","3U","07/31/16","TBD","ISS","Space Science"
"571","RoBiSat-2","Romanian Space Agency Institute of Space Science","Agency","Romania","2U","07/31/16","TBD","ISS","Space Science"
"572","UNSW-EC0","The University of New South Wales","University","Australia","2U","07/31/16","TBD","ISS","Space Science"
"573","UPSat (CubeSat by the University of Patras)","University of Patras","University","Greece","2U","07/31/16","TBD","ISS","Space Science"
"574","Ursa Maior (University of Rome la SApienza Micropropulsion for Attitude and In Orbit debris Removal testing)","University of Rome","University","Italy","3U","07/31/16","TBD","ISS","Space Science"
"575","RAVAN (Radiometer Assessment Using Vertical Aligned Nanotubes)","Johns Hopkins Applied Physics Laboratory","University","US","3U","07/31/16","-","not launched","Space Activity"
"576","VZLUSAT-1","Aerospace Research and Test Establishment","Institute","Czech","2U","07/31/16","TBD","ISS","Space Science"
"577","RoBiSat-1","Romanian Space Agency Institute of Space Science","Agency","Romania","2U","07/31/16","TBD","ISS","Space Science"
"578","Biarri-Point","US Air Force","Military","US","3U","07/31/16","TBD","not launched","Space Technology"
"579","X-Cubesat","Ecole Polytechnique","University","France","2U","07/31/16","TBD","ISS","Space Science"
"580","YUsend-QB50","York University","University","Canada","2U","07/31/16","TBD","ISS","Space Science"
"581","PolyITAN-2-SHAU","National Technical University of Ukraine","University","Ukraine","2U","07/31/16","TBD","ISS","Space Science"
"582","SAMSON A","Israel Institute Of Technology","University","Israel","6U","07/31/16","-","not launched","Space Technology"
"583","SAMSON B","Israel Institute Of Technology","University","Israel","6U","07/31/16","-","not launched","Space Technology"
"584","Biarri-Squad 1","US Air Force","Military","US","3U","07/31/16","-","-","Space Technology"
"585","SAMSON C","Israel Institute Of Technology","University","Israel","6U","07/31/16","-","not launched","Space Technology"
"586","Biarri-Squad 2","US Air Force","Military","US","3U","07/31/16","-","-","Space Technology"
"587","Biarri-Squad 3","US Air Force","Military","US","3U","07/31/16","-","-","Space Technology"
"588","Challenger","University of Colorado Boulder","University","US","2U","07/31/16","TBD","ISS","Space Science"
"589","14-BISat","Instituto Federal Fluminense","University","Brazil","2U","07/31/16","TBD","ISS","Space Science"
"590","Aalto-2","Aalto University","University","Finland","2U","07/31/16","TBD","ISS","Space Science"
"591","Anusat-2","Anna University","University","India","2U","07/31/16","TBD","ISS","Space Science"
"592","Aoxiang-1","Northwestern Polytechnical University","University","China","2U","07/31/16","TBD","ISS","Space Science"
"593","Atlantis","University of Michigan","University","US","2U","07/31/16","TBD","ISS","Space Science"
"594","BeEagleSat","Istanbul Technical University","University","Turkey","2U","07/31/16","TBD","ISS","Space Science"
"595","BUSAT-1","Beihang University","University","China","2U","07/31/16","TBD","ISS","Space Science"
"596","DragSail-CubeSat (Dragsat-CubeSat, Compass-2)","Aachen University of Applied Sciences","University","Germany","3U","07/31/16","TBD","ISS","Space Technology"
"597","DELFFI-2 (DelFFi Delta)","Delft University of Technology","University","Netherlands","3U","07/31/16","TBD","ISS","Space Technology"
"598","DELFFI-1 (DelFFi Phi)","Delft University of Technology","University","Netherlands","3U","07/31/16","TBD","ISS","Space Technology"
"599","DUTHSat","Democritus University of Thrace","University","Greece","2U","07/31/16","TBD","ISS","Space Science"
"600","EntrySat","ISAE Institut Supérieur de l'Aéronautique et de l'Espace","University","France","2U","07/31/16","TBD","ISS","Space Science"
"601","Ex-Alta 1 (AlbertaSat-1, Experimental Albertan #1)","University of Alberta","University","Canada","3U","07/31/16","TBD","ISS","Space Science"
"602","GamaSat","University of Porto","University","Portugal","3U","07/31/16","TBD","ISS","Space Science"
"603","HavelSat","Istanbul Technical University","University","Turkey","2U","07/31/16","TBD","ISS","Space Science"
"604","Hoopoe (Duchifat)","Herzliya Science Centre","School","Israel","2U","07/31/16","TBD","ISS","Space Science"
"605","i-INSPIRE II (Inspire 2)","University of Sydney","University","Australia","2U","07/31/16","TBD","ISS","Space Science"
"606","CzechTechSat","Czech Technical University of Prague","University","Czech","1U","07/31/16","-","not launched","Space Technology"
"607","InflateSail","University of Surrey","University","UK","3U","07/31/16","TBD","ISS","Space Science"
"608","LilacSat-1","Harbin Institute of Technology","University","China","2U","07/31/16","TBD","ISS","Space Science"
"609","Link","Korea Advanced Institute of Science and Technology","Institute","South Korea","2U","07/31/16","TBD","ISS","Space Science"
"610","LituanicaSAT-2","Innovative Engineering Projects","Company","Lithuania","3U","07/31/16","TBD","ISS","Space Science"
"611","NJUST-1","Nanjing University of Science and Technology","University","China","2U","07/31/16","TBD","ISS","Space Science"
"612","NUDTSat","National University of Defense Technology","University","China","2U","07/31/16","TBD","ISS","Space Science"
"613","OGMS-SA (OutGassing Material Study by Spectroscopy Analysis)","Paris-Est Créteil Val-de-Marne University","University","France","3U","07/31/16","TBD","ISS","Space Science"
"614","Pegasus","University of Applied Sciences Wiener Neustadt","University","Austria","2U","07/31/16","TBD","ISS","Space Science"
"615","PHOENIX","National Cheng Kung University","University","Taiwan","2U","07/31/16","TBD","ISS","Space Science"
"616","AISat Nano (AISat-1N)","UK Space Agency","Agency","UK","3U","08/31/16","-","not launched","Space Activity"
"617","MinXSS-2 (Miniature X-ray Solar Spectrometer CubeSat)","University of Colorado at Boulder","University","US","3U","2016-09-31","Minotaur-C","not launched","Space Science"
"618","CPOD A (Cubesat Proximity Operations Demonstration, PONSFD-A, Proximity Operations Nano-Satellite Flight Demonstration)","Tyvak Nano-Satellite Systems","Company","US","3U","2016-09-31","Minotaur-C","not launched","Space Technology"
"619","CPOD B (Cubesat Proximity Operations Demonstration, PONSFD-B, Proximity Operations Nano-Satellite Flight Demonstration)","Tyvak Nano-Satellite Systems","Company","US","3U","2016-09-31","Minotaur-C","not launched","Space Technology"
"620","Dellingr","NASA Goddard Space Flight Center","Agency","US","6U","2016-09-31","-","ISS","Space Technology"
"621","EagleSat","Embry-Riddle Aeronautical University, Prescott AZ","University","US","1U","11/15/16","Delta II","not launched","Space Technology"
"622","RadFxSat (Fox-1B)","Vanderbilt University and The Radio Amateur Satellite Corporation.","University","US","1U","11/15/16","Delta II","not launched","Space Technology"
"623","MiRaTA (Microwave Radiometer Technology Acceleration)","Massachusetts Institute Of Technology","University","US","3U","11/15/16","Delta II","not launched","Space Technology"
"624","GE1: Golden Eagle 1 (GoldenEagle-1)","Marquette University","University","US","1U","11/15/16","Delta II","not launched","Space Technology"
"625","Hera-9","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"626","Prometheus Block 2 - 4","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"627","Outernet Demo 1","Outernet","Company","US","1U","12/31/16","-","-","Space Activity"
"628","STF-1 (Simulation To Flight 1)","West Virginia University","University","US","3U","12/31/16","-","not launched","Space Technology"
"629","MicroMAS-2 B","Massachusetts Institute of Technology","University","US","3U","12/31/16","not launched","not launched","Space Technology"
"630","MarCO 2 (Mars Cube One)","NASA","Agency","US","6U","12/31/16","Atlas V","Mars, deep space","Space Technology"
"631","Prometheus Block 2 - 5","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"632","Hera-8","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"633","Prometheus Block 2 - 6","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"634","Hera-7","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"635","Prometheus Block 2 - 7","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"636","Outernet Demo 2","Outernet","Company","US","1U","12/31/16","-","-","Space Activity"
"637","Prometheus Block 2 - 8","Los Alamos National Laboratory","Military","US","1.5U","12/31/16","Falcon Heavy","not launched","Space Technology"
"638","Hera-6","Hera Systems","Company","US","12U","12/31/16","not launched","not launched","Space Activity"
"639","Outernet Demo 3","Outernet","Company","US","1U","12/31/16","-","-","Space Activity"
"640","UoS3 (Project BLAST, University of Southampton Small Satellite)","University of Southampton","University","UK","1U","12/31/16","not launched","ISS","Space Technology"
"641","Reaktor Hello World","Reaktor Space Lab","Company","Finland","2U","12/31/16","not launched","not launched","Space Activity"
"642","TechEdSat-5","NASA Ames Research Center","Agency","US","3U","12/31/16","TBD","ISS","Space Technology"
"643","SHARC","Air Force Research Laboratory","Military","US","5U","12/31/16","TBD","ISS","Space Technology"
"644","UWE-4","University of Würzburg","University","Germany","1U","12/31/16","TBD","not launched","Space Technology"
